X1,X2,labels,IDs,Var5
1.39048464,2.211563071,SST/adap,485058595,
-0.465495324,6.956656589,PV/FS,485060618,
1.044142216,5.65511842,PV/FS,485061364,
-1.441123668,-2.449914016,spiny mouse,485161419,
0.834246673,6.730597727,PV/FS,485182007,
4.633354816,1.315164318,spiny mouse,485182362,
-0.350199998,6.654328445,PV/FS,485184849,
1.011732367,6.339923465,PV/FS,485245025,
0.190390014,6.576779371,PV/FS,485253111,
3.859644339,2.376451546,SST/adap,485287282,
0.029718089,-2.779889253,spiny mouse,485287944,
-0.019226715,-2.773367578,spiny mouse,485288679,
2.907335478,-2.671886528,spiny mouse,485339983,
1.264128008,6.386585757,SST/adap,485455219,
4.380754478,2.655314001,IR/VIP,485455249,
4.299837625,2.639648708,IR/VIP,485455285,
1.885321607,0.956459018,SST/adap,485466109,
0.629513702,-0.638591098,spiny mouse,485468180,
-0.222109492,-0.684657605,spiny mouse,485490864,
-1.589955927,-1.291656433,spiny mouse,485570335,
-2.505943819,-4.351644086,spiny mouse,485574721,
-2.943179598,-2.545974715,spiny mouse,485574832,
0.789668149,-3.666687816,spiny mouse,485577686,
1.321275245,-2.645454664,spiny mouse,485578197,
4.83438563,1.112443589,spiny mouse,485579168,
-0.515535685,-3.256702591,spiny mouse,485608017,
-1.932525814,-2.818035652,spiny mouse,485610263,
-0.417533202,5.546723214,PV/FS,485630699,
1.549183905,7.144322208,PV/FS,485639243,
-1.000614856,-2.77971863,spiny mouse,485834744,
-0.220469032,-4.044474833,spiny mouse,485835016,
-0.146564783,-2.323405964,spiny mouse,485835055,
-0.287742184,-3.77760945,spiny mouse,485836906,
0.100379959,-1.448665019,spiny mouse,485837504,
-0.539018962,-4.42713589,spiny mouse,485838981,
-0.350328138,-2.247699664,spiny mouse,485880739,
-0.138916963,-3.017572907,spiny mouse,485884503,
-1.48337369,-1.256104862,spiny mouse,485887209,
-1.346569813,-1.910181452,spiny mouse,485889190,
1.425388594,7.340177818,PV/FS,485905391,
0.215489544,-2.827828769,spiny mouse,485905411,
-2.80927251,-4.223588397,spiny mouse,485909730,
-1.400905452,-3.416713821,spiny mouse,485911892,
-0.262091533,-0.771429086,spiny mouse,485911966,
-0.79953847,-2.84388782,spiny mouse,485912047,
2.768001368,-2.72376314,spiny mouse,485931158,
4.214619994,0.938800243,spiny mouse,485932822,
1.394733561,-3.062181478,spiny mouse,485934207,
0.905322246,-2.837144246,spiny mouse,485938494,
-0.31961497,-3.817914555,spiny mouse,485954440,
0.169046194,-2.848742042,spiny mouse,485955037,
-0.077146449,-3.711357402,spiny mouse,485955227,
0.314562907,-0.046934974,spiny mouse,485955982,
-0.094665015,-0.751811123,spiny mouse,485956826,
-1.833384846,-4.78870322,spiny mouse,485958978,
-0.245614216,-4.30765529,spiny mouse,486025194,
-1.064113082,-4.526370078,spiny mouse,486052980,
4.880907166,1.007902798,spiny mouse,486054618,
-1.395225996,-3.063484944,spiny mouse,486106720,
-0.895400039,-2.532995545,spiny mouse,486108147,
-0.073670699,-3.49491462,spiny mouse,486111903,
-0.343663895,-1.981274627,spiny mouse,486132712,
-2.073889134,-4.089516078,spiny mouse,486146717,
-2.031754301,-2.158904082,spiny mouse,486146828,
-2.57858286,-5.103422873,spiny mouse,486176465,
-0.883040376,-2.077986131,spiny mouse,486178939,
0.763050101,-1.343118149,spiny mouse,486191673,
-0.26169337,-3.624473608,spiny mouse,486196663,
0.944503678,-3.147776012,spiny mouse,486198953,
-2.591817687,-1.739188892,spiny mouse,486235288,
-0.007509793,-4.075184204,spiny mouse,486236426,
-1.561505213,-4.011220054,spiny mouse,486239338,
1.370514914,-1.417671194,spiny mouse,486246801,
0.533125999,-3.419350273,spiny mouse,486262299,
-1.224126222,-3.879529855,spiny mouse,486264574,
-0.018820465,-2.940383661,spiny mouse,486466923,
-1.01566815,-3.656582896,spiny mouse,486500736,
-0.780431014,-0.306164906,spiny mouse,486502127,
-0.193656842,-1.540560952,spiny mouse,486509644,
3.031961786,-2.636211825,spiny mouse,486510127,
1.645139716,7.086421974,PV/FS,486513293,
1.268241877,7.615854419,PV/FS,486514107,
2.317337897,0.240059357,IR/VIP,486557574,
