IDs,X1,X2,labels
570000000,-31.9208,30.09544,mouse
569000000,-35.7668,29.25026,mouse
584000000,-39.7089,29.34554,mouse
586000000,-36.9115,28.22606,mouse
329000000,-35.3702,26.81339,mouse
502000000,-39.3231,27.89584,mouse
563000000,-38.8829,29.69502,mouse
476000000,-39.9698,28.92163,mouse
592000000,-35.4159,26.78104,mouse
527000000,-31.8375,26.55098,mouse
595000000,-34.1876,26.75123,mouse
561000000,-35.6485,27.57236,mouse
522000000,-31.2682,26.5093,mouse
483000000,-39.3119,28.03758,mouse
490000000,-38.7383,29.8629,mouse
563000000,-34.3437,26.59661,mouse
581000000,-37.3217,30.15419,mouse
466000000,-31.8386,29.50929,mouse
564000000,-35.8956,27.5152,mouse
597000000,-37.7916,26.10413,mouse
585000000,-31.1972,26.55169,mouse
443000000,-31.6104,26.73084,mouse
480000000,-38.4955,29.78515,mouse
476000000,-38.7354,26.68404,mouse
575000000,-33.5522,26.71141,mouse
586000000,-36.6715,27.18779,mouse
485000000,-32.0505,30.63458,mouse
581000000,-32.0599,29.10262,mouse
473000000,-35.0767,27.52983,mouse
531000000,-35.4826,28.45643,mouse
589000000,-40.0686,29.60866,mouse
556000000,-32.3372,26.34104,mouse
527000000,-38.7881,29.52284,mouse
563000000,-38.8846,28.91583,mouse
586000000,-32.1742,28.28866,mouse
594000000,-36.5425,28.85324,mouse
467000000,-35.1363,26.87254,mouse
472000000,-36.8394,27.92516,mouse
489000000,-31.6053,28.89548,mouse
576000000,-34.6737,26.42907,mouse
479000000,-35.2629,27.09875,mouse
582000000,-39.2061,28.33784,mouse
522000000,-35.1884,26.09316,mouse
567000000,-38.3914,27.10521,mouse
325000000,-39.7736,29.10936,mouse
501000000,-39.5035,29.37408,mouse
502000000,-37.4454,30.3204,mouse
562000000,-36.3844,27.86667,mouse
559000000,-40.6716,29.34907,mouse
591000000,-32.2755,29.24477,mouse
587000000,-34.7258,28.2993,mouse
483000000,-34.7285,26.91124,mouse
